date,symbol,adjClose,volume
2017-03-06,TUR,32.5841713489,612655
2017-03-06,VOO,205.90124621110002,1530991
2017-03-07,VOO,205.27873213639998,1743154
2017-03-07,VNQI,44.4188614408,779591
2017-03-07,TUR,32.8557815575,236071
2017-03-08,VOO,204.8448586905,1784358
2017-03-08,TUR,31.4977305149,498017
2017-03-08,VNQI,44.19715086340001,330500
2017-03-09,VNQI,44.1715688737,196455
2017-03-09,VOO,205.0617954135,1636234
2017-03-09,TUR,31.1084225493,370147
2017-03-10,TUR,31.877984806799997,294144
2017-03-10,VNQI,44.376224791300004,248513
2017-03-10,VOO,205.7786298025,1819935
2017-03-13,VNQI,44.67468133770001,831369
2017-03-13,VOO,205.90124621110002,1388168
2017-03-13,TUR,31.7874480706,280569
2017-03-14,VOO,205.203275885,1428401
2017-03-14,TUR,31.6154282719,305069
2017-03-14,VNQI,44.3335881418,206221
2017-03-15,VNQI,45.1181024924,313061
2017-03-15,VOO,206.9104735746,3358849
2017-03-15,TUR,32.5932250226,607448
2017-03-16,VNQI,45.4250863688,196247
2017-03-16,VOO,206.56148841150002,1710910
2017-03-16,TUR,33.0911770715,626374
2017-03-17,VNQI,45.4591956884,174923
2017-03-17,VOO,206.1464790284,1588569
2017-03-17,TUR,33.1636064605,106371
2017-03-20,VOO,205.9320889539,1035933
2017-03-20,TUR,33.3460379838,178820
2017-03-20,VNQI,45.493305008,479080
2017-03-21,VNQI,45.2886490904,512827
2017-03-21,TUR,32.8557815575,273904
2017-03-21,VOO,203.33573366099998,3468676
2017-03-22,TUR,32.882942578299996,219541
2017-03-22,VNQI,45.4506683585,875002
2017-03-22,VOO,203.74885663779997,2600312
2017-03-23,TUR,32.719976453200005,344022
2017-03-23,VNQI,45.6467969461,168865
2017-03-23,VOO,203.540388828,2436713
2017-03-24,VOO,203.4740581613,2647642
2017-03-24,TUR,33.2541431966,349123
2017-03-24,VNQI,45.73207024510001,202052
2017-03-27,TUR,33.000640335300005,243416
2017-03-27,VOO,203.1424048275,2082864
2017-03-27,VNQI,45.56152364720001,479647
2017-03-28,VNQI,45.578578307,731410
2017-03-28,TUR,32.3397221613,1021938
2017-03-28,VOO,204.6490585437,3057247
2017-03-29,VOO,204.95228444880001,1748673
2017-03-29,VNQI,45.6212149564,214544
2017-03-29,TUR,32.4845809392,501530
2017-03-30,TUR,32.430258897399995,335347
2017-03-30,VNQI,45.365395059499996,474361
2017-03-30,VOO,205.5018814019,2494842
2017-03-31,VNQI,45.416559038900004,263703
2017-03-31,VOO,205.0091393061,1331402
